id,Nom,Adresse1,Adresse2,Adresse3,Code Postal,Commune,Code inse,Téléphone,Téléphone international,Mél,Site Web (URL),Fax,Fax international,Descriptif court (Standard),Classement HOT,Chaines,Longitude,Latitude,Altitude,Géolocalisation validée,,,,,,,,,,,,,,,
2023,Hôtel des Alpes Skiers Lodge,D 1091,,La Grave,5320,La Grave,5063,04 76 11 03 18,+334 76 11 03 18,info@skierslodge.com,http://www.skierslodge.com,04 76 11 04 28,+334 76 11 04 28,"Dans le village de La Grave, l'un des premiers hôtels qui ont ouvert en 1898: lieu historique des pionniers de l'alpinisme qui sont venus à la conquête des sommets, chercher de nouveaux défis.
Exposition plein Sud, vue sur la Meije,pub,atelier ski.",Non Classé NN 2009,,6.305444,45.045192,1550,1,,,,,,,,,,,,,,,
2068,Hôtel-Appart'hôtel Panoramic Village,Le Nouveau Village,,La Grave,5320,La Grave,5063,04 76 79 97 97,+334 76 79 97 97,contact@panoramic-village.com,http://www.panoramic-village.com/,04 76 79 97 63,+334 76 79 97 63,"Établissement organisé en village piéton de chalets. Un chalet central point de réception et d'animation. Cet établissement est réputé pour son confort, le stationnement aisé avec un parking couvert. Muriel et Philippe seront ravis de vous accueillir.",3 étoiles,,6.301174,45.044987,1500,1,,,,,,,,,,,,,,,
2121,Hôtel Auberge Edelweiss,Rue de Babiole,,La Grave,5320,La Grave,5063,04 76 79 90 93,+334 76 79 90 93,info@hotel-edelweiss.com,http://www.hotel-edelweiss.com,04 76 79 92 64,+334 76 79 92 64,"L'hôtel,confortable et convivial est favori parmi les sportifs bonvivants.C'est un ancien relais de poste à 5mn à pied des Téléphériques des Glaciers de La Meije.Le restaurant propose des diners gourmets et une grande sélection de vin.Terrasse panoramique",3 étoiles,,6.30686,45.046124,1480,1,,,,,,,,,,,,,,,
2130,Hôtel Castillan,D1091,,La Grave,5320,La Grave,5063,04 76 79 90 04,+334 76 79 90 04,castillan.hotel@wanadoo.fr,http://www.le-castillan.com, , ,"Au centre du village de La Grave, aux portes du Parc National des Ecrins, le lieu idéal des séjours de loisirs et des séminaires :  Le Castillan.",2 étoiles,,6.303878,45.045412,1480,1,,,,,,,,,,,,,,,
2307,Hôtel Auberge aux 3 Frênes,Place du village,,Villar d'Arène,5480,Villar d'Arène,5181,04 76 79 90 65,+334 76 79 90 65,hotel.3frenes@wanadoo.fr,http://www.3frenes.com,04 76 79 96 20,+334 76 79 96 20,"Maison de caractère du 18ème avec salles voutées (12 chambres de charme), cadre convivial et chaleureux, terrasse sous les arbres, jardin en bordure de forêt. Cuisine du terroir.",2 étoiles,,6.336123,45.042122,1650,1,,,,,,,,,,,,,,,
2353,Hôtel Les Agneaux,D1091,,Villar d'Arène,5480,Villar d'Arène,5181,04 76 79 90 62,+334 76 79 90 62,info@hotel-lesagneaux.com,http://www.hotel-lesagneaux.com/accueil_fr.htm, , ,"Bienvenue chez vous avec Jean-Philippe et Leila qui vous accueilleront après vos exploits de la journée.
Venez vous détendre dans nos chambres, au coin du feu, sur la terrasse plein sud au calme.
Vous relaxer au sauna ou au Jacuzzi.",2 étoiles,,6.337094,45.043873,1650,1,,,,,,,,,,,,,,,
2356,Hôtel Le Serac,D1091 La Grave – La Meije,,La Grave– La Meije,5320,La Grave,5063,04 76 79 91 53,+334 76 79 91 53,mail@hotel-le-serac.com,http://www.hotel-le-serac.com/, , ,"L'Hôtel vous propose 12 belles chambres très vastes et confortables équipées de salle de bains, wc privé, télévision sur demande, téléphone direct et grand balcon plein Sud avec une vue exceptionnelle sur La Meije et ses glaciers.",2 étoiles,,6.308202,45.046594,1480,1,,,,,,,,,,,,,,,
2365,Hôtel La Meijette,D1091,,La Grave,5320,La Grave,5063,06 37 88 61 70,+336 37 88 61 70,hotel.lameijette.juge@wanadoo.fr,http://www.hotellameijette.com/, , ,"Avec ses balcons fleuris durant l'été, face à la Meije, La Meijette vous propose une superbe terrasse panoramique et de confortables chambres avec balcons exposés plein Sud, face aux cîmes enneigées.",2 étoiles,,6.304709,45.045124,1550,1,,,,,,,,,,,,,,,
122675,Auberge des Papes,22 chemin des meules,Route de Grignan,,84600,Grillon,84053,04 90 37 43 67,+334 90 37 43 67,aubergedespapes@wanadoo.fr,http://aubergedespapes.fr, , ,"Hôtel-restaurant au calme, grand parc et piscine.",Sans étoile,,4.920588,44.397578,,1,,,,,,,,,,,,,,,
122705,Hôtel  du Midi,5 avenue des Alliés,,,84820,Visan,84150,04 90 41 90 05,+334 90 41 90 05,info@hoteldumidivisan.com,http://www.hotelrestaumidivisan.fr/,04 90 41 96 11,+334 90 41 96 11,"L' Hôtel du Midi, établissement entièrement rénové en 2010, allie modernité, confort et douceur de vivre.",2 étoiles,,4.950542,44.31304,,1,,,,,,,,,,,,,,,
